"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 10 02:52:05 GMT 2023","Mon Jul 10 02:52:17 GMT 2023","11657","chromium","","Testing cards in Trello (Attachment) > Add attachment in a card","","","Attach a link in a card",""
"passed","Mon Jul 10 02:54:40 GMT 2023","Mon Jul 10 02:54:47 GMT 2023","7750","chromium","","Testing workspaces in Trello > Create a workspace","","","Create",""
"passed","Mon Jul 10 02:52:17 GMT 2023","Mon Jul 10 02:52:26 GMT 2023","8536","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Mon Jul 10 02:54:26 GMT 2023","Mon Jul 10 02:54:31 GMT 2023","5096","chromium","","Testing cards in Trello > Updating information of a card","","","Add a checklist",""
"broken","Mon Jul 10 02:52:52 GMT 2023","Mon Jul 10 02:53:34 GMT 2023","42018","chromium","","Testing lists in Trello > Delete lists of a board","","","delete",""
"passed","Mon Jul 10 02:51:45 GMT 2023","Mon Jul 10 02:52:05 GMT 2023","20130","chromium","","Archive a list of a board with more than one list > Archive a list","","","Archive ""In Progress"" list",""
"passed","Mon Jul 10 02:52:31 GMT 2023","Mon Jul 10 02:52:44 GMT 2023","13548","chromium","","Copy a cards in another list > Copy a card","","","Copy Card 01 to In Progress list",""
"passed","Mon Jul 10 02:53:45 GMT 2023","Mon Jul 10 02:53:50 GMT 2023","4638","chromium","","Test suite > Update board name","","","Update board name with UI",""
"passed","Mon Jul 10 02:54:08 GMT 2023","Mon Jul 10 02:54:16 GMT 2023","8249","chromium","","Testing cards in Trello > Updating information of a card","","","Add Description in a card",""
"passed","Mon Jul 10 02:54:00 GMT 2023","Mon Jul 10 02:54:08 GMT 2023","8555","chromium","","Testing cards in Trello > Create cards in a board","","","Create",""
"passed","Mon Jul 10 02:52:26 GMT 2023","Mon Jul 10 02:52:31 GMT 2023","5089","chromium","","Testing cards in Trello > Moving cards for the lists","","","Move",""
"passed","Mon Jul 10 02:54:47 GMT 2023","Mon Jul 10 02:54:52 GMT 2023","4147","chromium","","Testing workspaces in Trello > Dele a workspace","","","Delete",""
"passed","Mon Jul 10 02:54:31 GMT 2023","Mon Jul 10 02:54:40 GMT 2023","8483","chromium","","Testing cards in Trello > Updating information of a card","","","Add a cover",""
"passed","Mon Jul 10 02:54:21 GMT 2023","Mon Jul 10 02:54:26 GMT 2023","5049","chromium","","Testing cards in Trello > Updating information of a card","","","Add a label",""
"passed","Mon Jul 10 02:54:16 GMT 2023","Mon Jul 10 02:54:21 GMT 2023","4576","chromium","","Testing cards in Trello > Updating information of a card","","","Add member in a card",""
"passed","Mon Jul 10 02:53:34 GMT 2023","Mon Jul 10 02:53:45 GMT 2023","11093","chromium","","Test suite > create a new board","","","create a board whit UI",""
"passed","Mon Jul 10 02:53:50 GMT 2023","Mon Jul 10 02:54:00 GMT 2023","9554","chromium","","Test suite > Delete a Board in Trello","","","Delete a board with UI",""
"passed","Mon Jul 10 02:52:44 GMT 2023","Mon Jul 10 02:52:52 GMT 2023","7642","chromium","","Testing lists in Trello > Create lists","","","Create",""
